Ticker,n_fast,n_slow,Train_Return[%],Train_Sharpe,Train_MaxDD[%],Train_Trades,Test_Return[%],Test_Sharpe,Test_MaxDD[%],Test_Trades
ABBV,5,20,-69.13497486049388,-0.8253606019843276,-72.3977731223676,119,6.92918289801497,0.1229070872699664,-23.57471945954901,46
ABBV,5,30,-49.16131750799085,-0.4630515984252803,-57.88932275094266,91,-0.053587974904148725,-0.0009922321947633905,-26.080031434043637,29
ABBV,5,50,-37.18304058866677,-0.32557503838871277,-48.697021710126585,68,10.21652676587426,0.1834865146740249,-20.825527282760415,26
ABBV,5,100,-35.56078061482996,-0.3059675226136747,-51.79275606065337,37,6.635809418619629,0.11913921353157945,-23.346122805464407,11
ABBV,5,150,-17.24254788401171,-0.13632879763794703,-45.72122938036637,34,0.7296066311876711,0.013743819435719657,-24.67043116692492,8
ABBV,5,200,-5.776054938507732,-0.04251663348561546,-38.64742427983896,29,-4.9216601566946885,-0.10949458023688205,-18.820412635567386,11
ABBV,10,20,-66.51679066534638,-0.7832354046164671,-69.20115688436559,105,-7.739688512723624,-0.14638962998898367,-32.88702637525164,43
ABBV,10,30,-54.4771774562445,-0.5557793189416591,-58.85791003426193,70,-8.065006398302268,-0.15603009486731562,-30.5983123449445,28
ABBV,10,50,-33.821868275304155,-0.28022070489714296,-49.479279878410864,52,0.5167193332658462,0.009742368432010502,-21.540209489755625,22
ABBV,10,100,-18.628434685193152,-0.14145566592386777,-39.530207693958666,27,15.905543597636207,0.2651689146480342,-23.85927283686882,9
ABBV,10,150,-6.032709418476643,-0.04299645908172918,-44.847106028092384,24,37.16538348032742,0.5474966821883577,-19.803187309573687,8
ABBV,10,200,14.31237749878157,0.09842680882387302,-32.41898325589837,17,34.81881822138192,0.5109268629824791,-23.555277213389736,7
ABBV,20,30,-4.021001460980479,-0.027258782382656964,-44.97333655914664,71,-0.7457311658803701,-0.01507985145062836,-24.940870848913388,28
ABBV,20,50,39.663524171390776,0.21474721357985685,-33.920697634904386,43,-14.851566440122117,-0.32575170493741923,-29.948993641523447,18
