Ticker,year,Return[%],Sharpe,MaxDD[%],Trades
COP,2022,58.252650977057705,1.0436051132121535,-18.098333408056654,1
COP,2023,7.032944903468414,0.4098293691396625,-12.234047838888229,0
COP,2024,-11.328593776951093,-0.5935299210354471,-25.88269033662979,2
CRM,2019,3.0362414385572265,0.2738441444628661,-9.826844498942776,1
CRM,2020,10.612029619193745,0.26871534052051443,-21.60893437221648,1
CRM,2021,-1.1738153452843108,-0.061264956337054075,-20.124405797089253,1
CRM,2022,-18.420202596917527,-0.7173520863379567,-30.1653918126354,2
CRM,2023,86.37562199655237,1.6410925214786485,-13.285950303294157,1
CRM,2024,33.837522893194695,1.0435697136569955,-15.088927032713894,1
CSCO,2018,13.16444523524069,0.45876308104243757,-17.43148969095232,1
CSCO,2019,12.825083135790718,0.47350416228286907,-24.462006169661098,0
CSCO,2020,0.0,,-0.0,0
CSCO,2021,43.89425573925411,1.5908967435380335,-9.917476866429231,0
CSCO,2022,1.653513357776574,0.10567451844978026,-16.13467847571952,0
CSCO,2023,3.168977576541438,0.15537616730332038,-16.91767312807395,2
CSCO,2024,19.157274565729786,1.693837972781024,-4.495831149388607,0
CVX,2018,-7.017149365611732,-0.40402203279881344,-19.44863597943456,1
CVX,2019,1.6342871100167213,0.09636502799321021,-17.12927157810912,2
CVX,2020,9.191926421604457,0.26870156758412583,-26.70301621998936,1
CVX,2021,33.39663220295217,1.1670325464814624,-10.707037080750382,1
CVX,2022,59.36707523726243,1.4049139716446064,-13.419166492227497,1
CVX,2023,-5.340686946558453,-0.3977460971258946,-16.90420555995642,0
CVX,2024,4.856390172501633,0.2833613222600384,-13.025953188723827,1
DIS,2018,6.235067743994787,0.3943410330859648,-14.848477474418587,0
DIS,2019,38.23323620214662,1.2821892720428258,-10.607208099907705,1
DIS,2020,64.25446411520046,1.3708210839843271,-14.18979384077148,2
DIS,2021,-11.41642067585357,-0.5639767757565577,-27.555286520253553,1
DIS,2022,-17.086249408923994,-0.7542383602107532,-32.40173261928202,0
DIS,2023,12.015375597342882,0.4758645998233893,-20.330944230511495,1
DIS,2024,29.736729284406955,0.9984344253146092,-19.960036801525092,1
DUK,2018,8.79204857379431,0.7069057487277722,-7.664071265159689,0
DUK,2019,9.896678840129661,0.8567309580257552,-9.818250056899625,1
DUK,2020,13.327745348857226,0.8681530614991397,-7.568931555660674,0
DUK,2021,19.501197896658066,1.0106708744232378,-9.969425241502371,0
DUK,2022,3.2650849383717104,0.1459139461968132,-23.975135921008782,0
DUK,2023,5.619392225094252,0.4862353824482709,-10.452776780111028,0
DUK,2024,8.30206610441568,0.5040235240220631,-11.557413289247053,1
GOOGL,2019,12.210700369662245,1.1956623170061464,-5.434622510335108,0
GOOGL,2020,22.791552850003356,0.8397781015310284,-17.922739801795018,0
GOOGL,2021,46.067902092688925,1.328851231022478,-8.034833541120289,1
GOOGL,2022,-21.895768722226993,-1.0547684828528692,-31.36744394588731,0
GOOGL,2023,60.31917565405139,1.2329561247992205,-17.164803109757585,0
GOOGL,2024,28.309364270923087,0.7734119290590933,-27.597428865860905,1
GS,2018,-25.355555623338105,-1.983058608335688,-30.235017764535165,1
GS,2019,27.90817997204524,1.0424290565388141,-11.711448547021043,1
GS,2020,27.5139115532546,1.1432045079135673,-11.716235778034834,1
GS,2021,36.73575778589222,1.1137494948880147,-11.820849696696245,1
GS,2022,-1.4065559733164081,-0.08789220566665162,-16.849961200155516,0
GS,2023,17.16688428049312,1.039741415063406,-15.531726224748576,0
GS,2024,41.51943075986282,1.2637436473608583,-9.116673719515944,1
HD,2018,-8.779904431246669,-0.5923909242391566,-25.394020760187562,0
HD,2019,25.672907855656923,1.2744829592279567,-10.657720127354242,2
HD,2020,19.365012689888463,0.8882319571449168,-9.310148534974283,1
HD,2021,51.315884273214394,1.8617675609637592,-11.711839076750863,1
HD,2022,7.073726981091149,0.32397928736041204,-17.8703471859042,0
HD,2023,16.716739935720177,1.0597273943148418,-16.929228797122953,0
HD,2024,11.987071971114965,0.6537680279191499,-15.70353063653458,1
HON,2018,-5.732289861574336,-0.4400798153675688,-22.147386634406953,1
HON,2019,36.54622550991937,1.6917922690560934,-8.84709648186196,1
HON,2020,37.262209224094164,1.5549679535457206,-8.866410920752887,0
HON,2021,0.9998418117198525,0.0532374452143829,-14.098691218500036,1
HON,2022,-3.4238105648575767,-0.21909010322890562,-26.202477971381256,1
HON,2023,0.0,,-0.0,0
HON,2024,15.654907546865216,1.088357788059597,-8.026921414596988,0
INTC,2018,13.4250225354989,0.3470561220480313,-23.24634292354698,1
INTC,2019,20.4991948933369,0.7292267979671901,-28.242011680400616,1
INTC,2020,0.0,,-0.0,0
INTC,2021,11.733271159149334,0.34273762023933113,-22.996687449458886,2
INTC,2022,-20.841458250495805,-1.0923968645750406,-24.227871664460622,1
INTC,2023,72.2689610926354,1.1471654113039502,-16.878994362041865,1
INTC,2024,-1.637442146911617,-0.057302070146405905,-27.32348678066643,0
JNJ,2018,-3.5951074048421834,-0.25576759645112135,-16.850491594437532,0
JNJ,2019,17.25754435973122,0.9915802288988373,-10.88526710494433,1
JNJ,2020,12.172785080588783,0.8516932736057345,-9.62228930093152,1
JNJ,2021,8.813784971254735,0.5835404279404659,-12.017491726500673,1
JNJ,2022,8.002862699540291,0.4706559066601985,-9.50896448646109,1
JNJ,2023,3.227935241377381,0.24587927426403108,-15.824322946717928,0
JNJ,2024,-4.186909070278235,-0.4475047112451019,-13.38916890799915,1
JPM,2018,-11.924636853249412,-0.6971972086543853,-24.03828786209694,3
JPM,2019,24.942880195290982,1.6030739019899494,-6.4054707999648635,3
JPM,2020,46.735792925735986,1.1519887896308074,-18.30417176554843,2
JPM,2021,20.132417685198398,0.9549596794264215,-11.029079339286262,2
JPM,2022,18.1808655169265,1.1726876546693838,-8.555453743780085,3
JPM,2023,19.435747064870373,1.1547310745226804,-10.703248676721467,3
JPM,2024,28.5945485932878,1.1314634061980406,-10.124141606844649,2
KO,2018,4.403930718110423,0.4347431442089695,-8.79289883980574,0
KO,2019,17.707348288002976,0.9159329361944448,-10.231078715573583,1
KO,2020,15.289844092925067,0.9612635403544678,-6.108722842095005,0
KO,2021,22.012737387962552,1.285924672454554,-8.006132711363334,0
KO,2022,6.8105006676438276,0.3274722418642116,-17.74239383444146,2
KO,2023,-2.837776540732011,-0.22433320889263997,-15.676801154977117,2
KO,2024,5.743674701214132,0.43786136112232865,-14.835810653372361,2
LLY,2018,13.312061178299336,0.5554231156683043,-15.220665463234418,1
LLY,2019,18.892343284927193,1.405906202885303,-7.945862402295944,0
LLY,2020,22.30824984849398,0.40956006861133065,-22.421709385189114,0
LLY,2021,18.60138196420772,0.8152320671330555,-18.708545683979782,1
LLY,2022,55.46724679190397,1.3787402943041625,-10.939480229021491,1
LLY,2023,63.934330506247136,1.4323138887689295,-12.16464765192794,1
LLY,2024,23.653037820943318,0.657127354057306,-23.253692032890307,1
MCD,2018,5.366533232782076,0.335817036435615,-9.617626810192249,1
MCD,2019,5.7605937951462325,0.4683891918286716,-10.525577138960973,2
MCD,2020,-2.0766703732231324,-0.09843846432851346,-22.151868152439093,2
MCD,2021,18.465388721733945,1.5078390868585607,-4.5984080601236155,5
MCD,2022,4.84792047086019,0.3823037094026139,-6.398621498661228,2
MCD,2023,14.823001932159332,1.5093900051844582,-7.79787558553402,2
MCD,2024,2.969237070019317,0.2808988322349045,-8.835575736366064,1
MRK,2018,24.651016999418314,1.0595642392298472,-13.460040416856211,1
MRK,2019,16.70617714472206,0.8090610263922123,-12.114979866359587,1
MRK,2020,9.262911571654021,0.6476059765289395,-12.801790107727607,0
MRK,2021,1.417549396885297,0.059942597746395,-20.12235663803005,2
MRK,2022,43.05392896144484,1.5880192273594025,-10.333294835347761,1
MRK,2023,-2.4356899944419275,-0.13388991907465697,-14.067295158956728,1
MRK,2024,-13.37366907022999,-0.7485108320747615,-26.871799997243507,1
MSFT,2018,5.756521207260885,0.1986606763222156,-18.217066816456086,2
MSFT,2019,52.048555261731266,2.0108361844330376,-7.89926178599255,2
MSFT,2020,-0.6759112269909383,-0.01698408099410547,-28.871567006587494,2
MSFT,2021,49.51392555883456,1.7443678047404079,-7.168280753023327,2
MSFT,2022,0.6293285620871939,0.026341014457916388,-20.247413743347188,1
MSFT,2023,65.27675889038103,1.8140832860605762,-9.158665393435605,2
MSFT,2024,8.140363737780808,0.44004063111927627,-14.545108098327475,2
MS,2018,-22.833965668215363,-1.642689822994924,-26.783971803815053,2
MS,2019,36.93898568175571,1.299156557094902,-16.0064886039476,1
MS,2020,43.67561108566617,1.2927453514888723,-12.796686508236432,0
MS,2021,27.316027047633725,0.8400824710992181,-12.04864729757864,1
MS,2022,-5.9009675857873845,-0.339994545958693,-17.808001867244016,0
MS,2023,11.247343400506034,0.5373847233770929,-24.881316260279874,0
MS,2024,32.47241538863993,1.0350458859034346,-10.674624515293374,1
NEE,2018,16.297912831102206,0.8503508163214343,-8.283038220425777,1
NEE,2019,38.38876833687642,2.1318332116502545,-6.813137809869141,1
NEE,2020,11.047661200332332,0.651033275272181,-7.54891471125495,0
NEE,2021,12.525298988937575,0.9925180882946139,-10.61345437216471,0
NEE,2022,5.407091004134291,0.2628791196106414,-22.112389895892015,0
NEE,2023,0.0,,-0.0,0
NEE,2024,27.480516635035983,0.8585228645947948,-17.755221681927182,1
NKE,2018,12.697486317492112,0.3798140123806232,-20.8149319416295,2
NKE,2019,35.71693882371154,1.5656460236580485,-11.251165195388445,1
NKE,2020,34.55736283164924,1.5948543203722816,-8.278408256746939,0
NKE,2021,-2.4603091098736876,-0.16606636829604168,-16.076223847460604,0
NKE,2022,5.5347905019523385,0.18026526638787882,-26.143180938679834,1
NKE,2023,5.1536679602980255,0.255566942293431,-14.369182179153361,0
NKE,2024,0.053572121978577344,0.003198741366349934,-17.944380769564038,0
NVDA,2018,-32.085757083677976,-0.9402570734313436,-49.98749638137714,1
NVDA,2019,34.72377476040412,0.7224883961032967,-30.272817311146916,1
NVDA,2020,52.992816032340706,0.582498764937531,-37.54483337302879,1
NVDA,2021,76.83982661203103,1.006669081512653,-24.36832280602026,1
NVDA,2022,-8.997686245800669,-0.29220714771564366,-37.15362530940577,1
NVDA,2023,108.06958164302567,1.2389626158982425,-18.27126852538077,0
NVDA,2024,84.46259721955936,0.9563108368818586,-22.391619612892512,1
PEP,2018,-1.4150937555408019,-0.11381001324947375,-12.33054359956689,0
PEP,2019,30.23192410783471,1.7411255120531839,-7.426418413742331,0
PEP,2020,9.568309177582432,0.8239822058892045,-7.88386955960263,0
PEP,2021,25.080485717163665,1.404088848599406,-10.40927756323854,1
PEP,2022,3.988736500551586,0.2062308032588448,-11.772822921624826,2
PEP,2023,-2.756983609766503,-0.19268866886761016,-18.236904429665003,1
PEP,2024,-7.65927333665406,-0.5167974643858669,-15.269986633141064,1
PFE,2018,7.921781918981323,0.5465329669736452,-12.260030335091587,0
